Feature,ADNIMERGE Frequency,Gene Expression Frequency,MRI Frequency,Total Frequency,Domain
MRI_780982,0,0,11902,11902,MRI
MRI_781067,0,0,11902,11902,MRI
MRI_781100,0,0,11902,11902,MRI
MRI_781381,0,0,11902,11902,MRI
MRI_781672,0,0,11902,11902,MRI
MRI_781767,0,0,11902,11902,MRI
MRI_781776,0,0,11902,11902,MRI
MRI_781877,0,0,11902,11902,MRI
MRI_782066,0,0,11902,11902,MRI
MRI_782185,0,0,11902,11902,MRI
MRI_782219,0,0,11902,11902,MRI
MRI_782377,0,0,11902,11902,MRI
MRI_782421,0,0,11902,11902,MRI
MRI_782674,0,0,11902,11902,MRI
MRI_782704,0,0,11902,11902,MRI
MRI_783095,0,0,11901,11901,MRI
MRI_783154,0,0,11901,11901,MRI
MRI_783174,0,0,11901,11901,MRI
MRI_783232,0,0,11901,11901,MRI
MRI_783248,0,0,11901,11901,MRI
MRI_783336,0,0,11901,11901,MRI
MRI_783371,0,0,11901,11901,MRI
MRI_783398,0,0,11901,11901,MRI
MRI_783703,0,0,11901,11901,MRI
MRI_783817,0,0,11901,11901,MRI
MRI_784074,0,0,11901,11901,MRI
MRI_784134,0,0,11901,11901,MRI
MRI_784171,0,0,11901,11901,MRI
MRI_784213,0,0,11901,11901,MRI
MRI_784218,0,0,11901,11901,MRI
MRI_784221,0,0,11901,11901,MRI
MRI_784403,0,0,11901,11901,MRI
MRI_784425,0,0,11901,11901,MRI
MRI_784493,0,0,11901,11901,MRI
MRI_784552,0,0,11901,11901,MRI
MRI_784571,0,0,11901,11901,MRI
MRI_784620,0,0,11901,11901,MRI
MRI_784721,0,0,11901,11901,MRI
MRI_785292,0,0,11901,11901,MRI
MRI_785373,0,0,11901,11901,MRI
MRI_785647,0,0,11901,11901,MRI
MRI_785701,0,0,11901,11901,MRI
MRI_785811,0,0,11901,11901,MRI
MRI_785983,0,0,11901,11901,MRI
MRI_786032,0,0,11901,11901,MRI
MRI_786135,0,0,11901,11901,MRI
MRI_786141,0,0,11901,11901,MRI
MRI_786155,0,0,11901,11901,MRI
MRI_786231,0,0,11901,11901,MRI
MRI_786241,0,0,11901,11901,MRI
MRI_786319,0,0,11901,11901,MRI
MRI_786434,0,0,11901,11901,MRI
MRI_786855,0,0,11901,11901,MRI
MRI_786890,0,0,11901,11901,MRI
MRI_786898,0,0,11901,11901,MRI
MRI_786946,0,0,11901,11901,MRI
MRI_786978,0,0,11901,11901,MRI
MRI_780892,0,0,11901,11901,MRI
MRI_780899,0,0,11901,11901,MRI
MRI_780916,0,0,11901,11901,MRI
MRI_780930,0,0,11901,11901,MRI
MRI_781040,0,0,11901,11901,MRI
MRI_781054,0,0,11901,11901,MRI
MRI_781242,0,0,11901,11901,MRI
MRI_781360,0,0,11901,11901,MRI
MRI_781578,0,0,11901,11901,MRI
MRI_781682,0,0,11901,11901,MRI
MRI_781815,0,0,11901,11901,MRI
MRI_782177,0,0,11901,11901,MRI
MRI_782541,0,0,11901,11901,MRI
MRI_782799,0,0,11900,11900,MRI
MRI_782835,0,0,11900,11900,MRI
MRI_782888,0,0,11900,11900,MRI
MRI_782926,0,0,11900,11900,MRI
MRI_783054,0,0,11900,11900,MRI
MRI_783129,0,0,11900,11900,MRI
MRI_783136,0,0,11900,11900,MRI
MRI_783172,0,0,11900,11900,MRI
MRI_783179,0,0,11900,11900,MRI
MRI_783233,0,0,11900,11900,MRI
MRI_783242,0,0,11900,11900,MRI
MRI_783268,0,0,11900,11900,MRI
MRI_783296,0,0,11900,11900,MRI
MRI_783340,0,0,11900,11900,MRI
MRI_783547,0,0,11900,11900,MRI
MRI_783587,0,0,11900,11900,MRI
MRI_783742,0,0,11900,11900,MRI
MRI_783841,0,0,11900,11900,MRI
MRI_783994,0,0,11900,11900,MRI
MRI_784032,0,0,11900,11900,MRI
MRI_784036,0,0,11900,11900,MRI
MRI_784053,0,0,11900,11900,MRI
MRI_784070,0,0,11900,11900,MRI
MRI_784082,0,0,11900,11900,MRI
MRI_784126,0,0,11900,11900,MRI
MRI_784127,0,0,11900,11900,MRI
MRI_784364,0,0,11900,11900,MRI
MRI_784370,0,0,11900,11900,MRI
MRI_784468,0,0,11900,11900,MRI
MRI_784569,0,0,11900,11900,MRI
MRI_784711,0,0,11900,11900,MRI
MRI_784781,0,0,11900,11900,MRI
MRI_784882,0,0,11900,11900,MRI
MRI_784962,0,0,11900,11900,MRI
MRI_784987,0,0,11900,11900,MRI
MRI_785002,0,0,11900,11900,MRI
MRI_785039,0,0,11900,11900,MRI
MRI_785093,0,0,11900,11900,MRI
MRI_785122,0,0,11900,11900,MRI
MRI_785249,0,0,11900,11900,MRI
MRI_785264,0,0,11900,11900,MRI
MRI_785411,0,0,11900,11900,MRI
MRI_785485,0,0,11900,11900,MRI
MRI_785724,0,0,11900,11900,MRI
MRI_785782,0,0,11900,11900,MRI
MRI_785799,0,0,11900,11900,MRI
MRI_785872,0,0,11900,11900,MRI
MRI_785979,0,0,11900,11900,MRI
MRI_785992,0,0,11900,11900,MRI
MRI_786065,0,0,11900,11900,MRI
MRI_786072,0,0,11900,11900,MRI
MRI_786207,0,0,11900,11900,MRI
MRI_786213,0,0,11900,11900,MRI
MRI_786256,0,0,11900,11900,MRI
MRI_786308,0,0,11900,11900,MRI
MRI_786690,0,0,11900,11900,MRI
MRI_786694,0,0,11900,11900,MRI
MRI_786748,0,0,11900,11900,MRI
MRI_786774,0,0,11900,11900,MRI
MRI_786910,0,0,11900,11900,MRI
MRI_787011,0,0,11900,11900,MRI
MRI_787096,0,0,11900,11900,MRI
MRI_787129,0,0,11900,11900,MRI
MRI_787151,0,0,11900,11900,MRI
MRI_787191,0,0,11900,11900,MRI
MRI_781059,0,0,11900,11900,MRI
MRI_781090,0,0,11900,11900,MRI
MRI_781146,0,0,11900,11900,MRI
MRI_781248,0,0,11900,11900,MRI
MRI_781319,0,0,11900,11900,MRI
MRI_781380,0,0,11900,11900,MRI
MRI_781611,0,0,11900,11900,MRI
MRI_781760,0,0,11900,11900,MRI
MRI_781762,0,0,11900,11900,MRI
MRI_781960,0,0,11900,11900,MRI
MRI_781979,0,0,11900,11900,MRI
MRI_782003,0,0,11900,11900,MRI
MRI_782009,0,0,11900,11900,MRI
MRI_782250,0,0,11900,11900,MRI
MRI_782381,0,0,11900,11900,MRI
MRI_782417,0,0,11900,11900,MRI
MRI_782462,0,0,11900,11900,MRI
MRI_782486,0,0,11900,11900,MRI
MRI_782504,0,0,11900,11900,MRI
MRI_782588,0,0,11900,11900,MRI
MRI_782605,0,0,11900,11900,MRI
MRI_782827,0,0,11899,11899,MRI
MRI_782847,0,0,11899,11899,MRI
MRI_782922,0,0,11899,11899,MRI
MRI_782949,0,0,11899,11899,MRI
MRI_782996,0,0,11899,11899,MRI
MRI_783008,0,0,11899,11899,MRI
MRI_783063,0,0,11899,11899,MRI
MRI_783089,0,0,11899,11899,MRI
MRI_783131,0,0,11899,11899,MRI
MRI_783182,0,0,11899,11899,MRI
MRI_783199,0,0,11899,11899,MRI
MRI_783259,0,0,11899,11899,MRI
MRI_783515,0,0,11899,11899,MRI
MRI_783757,0,0,11899,11899,MRI
MRI_783851,0,0,11899,11899,MRI
MRI_783881,0,0,11899,11899,MRI
MRI_783893,0,0,11899,11899,MRI
MRI_784029,0,0,11899,11899,MRI
MRI_784123,0,0,11899,11899,MRI
MRI_784448,0,0,11899,11899,MRI
MRI_784584,0,0,11899,11899,MRI
MRI_784610,0,0,11899,11899,MRI
MRI_784896,0,0,11899,11899,MRI
MRI_784983,0,0,11899,11899,MRI
MRI_785146,0,0,11899,11899,MRI
MRI_785255,0,0,11899,11899,MRI
MRI_785305,0,0,11899,11899,MRI
MRI_785310,0,0,11899,11899,MRI
MRI_785329,0,0,11899,11899,MRI
MRI_785336,0,0,11899,11899,MRI
MRI_785468,0,0,11899,11899,MRI
MRI_785517,0,0,11899,11899,MRI
MRI_785520,0,0,11899,11899,MRI
MRI_785564,0,0,11899,11899,MRI
MRI_785730,0,0,11899,11899,MRI
MRI_785989,0,0,11899,11899,MRI
MRI_786019,0,0,11899,11899,MRI
MRI_786067,0,0,11899,11899,MRI
MRI_786123,0,0,11899,11899,MRI
MRI_786267,0,0,11899,11899,MRI
MRI_786273,0,0,11899,11899,MRI
MRI_786291,0,0,11899,11899,MRI
MRI_786448,0,0,11899,11899,MRI
MRI_786513,0,0,11899,11899,MRI
MRI_786670,0,0,11899,11899,MRI
MRI_786674,0,0,11899,11899,MRI
MRI_786686,0,0,11899,11899,MRI
MRI_786716,0,0,11899,11899,MRI
MRI_786832,0,0,11899,11899,MRI
MRI_786856,0,0,11899,11899,MRI
MRI_786878,0,0,11899,11899,MRI
MRI_786949,0,0,11899,11899,MRI
MRI_786998,0,0,11899,11899,MRI
MRI_787006,0,0,11899,11899,MRI
MRI_787055,0,0,11899,11899,MRI
MRI_787159,0,0,11899,11899,MRI
MRI_780883,0,0,11899,11899,MRI
MRI_780927,0,0,11899,11899,MRI
MRI_781083,0,0,11899,11899,MRI
MRI_781186,0,0,11899,11899,MRI
MRI_781204,0,0,11899,11899,MRI
MRI_781323,0,0,11899,11899,MRI
MRI_781402,0,0,11899,11899,MRI
MRI_781416,0,0,11899,11899,MRI
MRI_781552,0,0,11899,11899,MRI
MRI_781573,0,0,11899,11899,MRI
MRI_781624,0,0,11899,11899,MRI
MRI_781647,0,0,11899,11899,MRI
MRI_781658,0,0,11899,11899,MRI
MRI_781825,0,0,11899,11899,MRI
MRI_781859,0,0,11899,11899,MRI
MRI_781867,0,0,11899,11899,MRI
MRI_781917,0,0,11899,11899,MRI
MRI_781919,0,0,11899,11899,MRI
MRI_781978,0,0,11899,11899,MRI
MRI_782015,0,0,11899,11899,MRI
MRI_782126,0,0,11899,11899,MRI
MRI_782179,0,0,11899,11899,MRI
MRI_782215,0,0,11899,11899,MRI
MRI_782244,0,0,11899,11899,MRI
MRI_782293,0,0,11899,11899,MRI
MRI_782301,0,0,11899,11899,MRI
MRI_782304,0,0,11899,11899,MRI
MRI_782437,0,0,11899,11899,MRI
MRI_782640,0,0,11899,11899,MRI
MRI_782939,0,0,11898,11898,MRI
MRI_783028,0,0,11898,11898,MRI
MRI_783113,0,0,11898,11898,MRI
MRI_783163,0,0,11898,11898,MRI
MRI_783330,0,0,11898,11898,MRI
MRI_783344,0,0,11898,11898,MRI
MRI_783452,0,0,11898,11898,MRI
MRI_783505,0,0,11898,11898,MRI
MRI_783519,0,0,11898,11898,MRI
MRI_783546,0,0,11898,11898,MRI
MRI_783548,0,0,11898,11898,MRI
MRI_783571,0,0,11898,11898,MRI
MRI_783578,0,0,11898,11898,MRI
MRI_783652,0,0,11898,11898,MRI
MRI_783677,0,0,11898,11898,MRI
MRI_783686,0,0,11898,11898,MRI
MRI_783740,0,0,11898,11898,MRI
MRI_783755,0,0,11898,11898,MRI
MRI_783792,0,0,11898,11898,MRI
MRI_783803,0,0,11898,11898,MRI
MRI_783840,0,0,11898,11898,MRI
MRI_783904,0,0,11898,11898,MRI
MRI_783961,0,0,11898,11898,MRI
MRI_784005,0,0,11898,11898,MRI
MRI_784011,0,0,11898,11898,MRI
MRI_784059,0,0,11898,11898,MRI
MRI_784162,0,0,11898,11898,MRI
MRI_784190,0,0,11898,11898,MRI
MRI_784201,0,0,11898,11898,MRI
MRI_784226,0,0,11898,11898,MRI
MRI_784242,0,0,11898,11898,MRI
MRI_784269,0,0,11898,11898,MRI
MRI_784338,0,0,11898,11898,MRI
MRI_784421,0,0,11898,11898,MRI
MRI_784442,0,0,11898,11898,MRI
MRI_784492,0,0,11898,11898,MRI
MRI_784608,0,0,11898,11898,MRI
MRI_784675,0,0,11898,11898,MRI
MRI_784719,0,0,11898,11898,MRI
MRI_784723,0,0,11898,11898,MRI
MRI_784726,0,0,11898,11898,MRI
MRI_784758,0,0,11898,11898,MRI
MRI_784759,0,0,11898,11898,MRI
MRI_784815,0,0,11898,11898,MRI
MRI_784817,0,0,11898,11898,MRI
MRI_784907,0,0,11898,11898,MRI
MRI_785170,0,0,11898,11898,MRI
MRI_785190,0,0,11898,11898,MRI
MRI_785201,0,0,11898,11898,MRI
MRI_785256,0,0,11898,11898,MRI
MRI_785265,0,0,11898,11898,MRI
MRI_785298,0,0,11898,11898,MRI
MRI_785304,0,0,11898,11898,MRI
MRI_785369,0,0,11898,11898,MRI
MRI_785398,0,0,11898,11898,MRI
MRI_785415,0,0,11898,11898,MRI
MRI_785428,0,0,11898,11898,MRI
MRI_785495,0,0,11898,11898,MRI
MRI_785497,0,0,11898,11898,MRI
MRI_785620,0,0,11898,11898,MRI
MRI_785627,0,0,11898,11898,MRI
MRI_785657,0,0,11898,11898,MRI
MRI_785702,0,0,11898,11898,MRI
MRI_785911,0,0,11898,11898,MRI
MRI_785928,0,0,11898,11898,MRI
MRI_785982,0,0,11898,11898,MRI
MRI_786082,0,0,11898,11898,MRI
MRI_786103,0,0,11898,11898,MRI
MRI_786136,0,0,11898,11898,MRI
MRI_786275,0,0,11898,11898,MRI
MRI_786337,0,0,11898,11898,MRI
MRI_786345,0,0,11898,11898,MRI
MRI_786391,0,0,11898,11898,MRI
MRI_786520,0,0,11898,11898,MRI
MRI_786535,0,0,11898,11898,MRI
MRI_786568,0,0,11898,11898,MRI
MRI_786581,0,0,11898,11898,MRI
MRI_786645,0,0,11898,11898,MRI
MRI_786654,0,0,11898,11898,MRI
MRI_786752,0,0,11898,11898,MRI
MRI_786762,0,0,11898,11898,MRI
MRI_786783,0,0,11898,11898,MRI
MRI_786930,0,0,11898,11898,MRI
MRI_786988,0,0,11898,11898,MRI
MRI_786995,0,0,11898,11898,MRI
MRI_787020,0,0,11898,11898,MRI
MRI_780816,0,0,11898,11898,MRI
MRI_780945,0,0,11898,11898,MRI
MRI_780956,0,0,11898,11898,MRI
MRI_780995,0,0,11898,11898,MRI
MRI_781018,0,0,11898,11898,MRI
MRI_781087,0,0,11898,11898,MRI
MRI_781092,0,0,11898,11898,MRI
MRI_781103,0,0,11898,11898,MRI
MRI_781132,0,0,11898,11898,MRI
MRI_781136,0,0,11898,11898,MRI
MRI_781148,0,0,11898,11898,MRI
MRI_781203,0,0,11898,11898,MRI
MRI_781224,0,0,11898,11898,MRI
MRI_781284,0,0,11898,11898,MRI
MRI_781342,0,0,11898,11898,MRI
MRI_781432,0,0,11898,11898,MRI
MRI_781466,0,0,11898,11898,MRI
MRI_781489,0,0,11898,11898,MRI
MRI_781558,0,0,11898,11898,MRI
MRI_781572,0,0,11898,11898,MRI
MRI_781587,0,0,11898,11898,MRI
MRI_781598,0,0,11898,11898,MRI
MRI_781636,0,0,11898,11898,MRI
MRI_781667,0,0,11898,11898,MRI
MRI_781697,0,0,11898,11898,MRI
MRI_781800,0,0,11898,11898,MRI
MRI_781850,0,0,11898,11898,MRI
MRI_781908,0,0,11898,11898,MRI
