Feature,ADNIMERGE Frequency,Gene Expression Frequency,MRI Frequency,Total Frequency,Domain
MRI_3369,0,0,4931,4931,MRI
MRI_3405,0,0,4931,4931,MRI
MRI_3435,0,0,4931,4931,MRI
MRI_3508,0,0,4931,4931,MRI
MRI_3571,0,0,4931,4931,MRI
MRI_3629,0,0,4931,4931,MRI
MRI_3808,0,0,4931,4931,MRI
MRI_3884,0,0,4931,4931,MRI
MRI_3930,0,0,4931,4931,MRI
MRI_4176,0,0,4931,4931,MRI
MRI_4207,0,0,4931,4931,MRI
MRI_4209,0,0,4931,4931,MRI
MRI_4249,0,0,4931,4931,MRI
MRI_4403,0,0,4931,4931,MRI
MRI_4505,0,0,4931,4931,MRI
MRI_4512,0,0,4931,4931,MRI
MRI_4765,0,0,4931,4931,MRI
MRI_4774,0,0,4931,4931,MRI
MRI_4815,0,0,4931,4931,MRI
MRI_4827,0,0,4931,4931,MRI
MRI_4857,0,0,4931,4931,MRI
MRI_4964,0,0,4931,4931,MRI
MRI_5043,0,0,4931,4931,MRI
MRI_5150,0,0,4931,4931,MRI
MRI_5189,0,0,4931,4931,MRI
MRI_5219,0,0,4931,4931,MRI
MRI_5347,0,0,4931,4931,MRI
MRI_5348,0,0,4931,4931,MRI
MRI_5467,0,0,4931,4931,MRI
MRI_5475,0,0,4931,4931,MRI
MRI_5644,0,0,4931,4931,MRI
MRI_5713,0,0,4931,4931,MRI
MRI_5903,0,0,4931,4931,MRI
MRI_5942,0,0,4931,4931,MRI
MRI_5962,0,0,4931,4931,MRI
MRI_6091,0,0,4931,4931,MRI
MRI_6152,0,0,4931,4931,MRI
MRI_6203,0,0,4931,4931,MRI
MRI_6216,0,0,4931,4931,MRI
MRI_6365,0,0,4931,4931,MRI
MRI_269,0,0,4931,4931,MRI
MRI_297,0,0,4931,4931,MRI
MRI_787209,0,0,4931,4931,MRI
MRI_787400,0,0,4931,4931,MRI
MRI_787436,0,0,4931,4931,MRI
MRI_787489,0,0,4931,4931,MRI
MRI_787493,0,0,4931,4931,MRI
MRI_787824,0,0,4931,4931,MRI
MRI_787890,0,0,4931,4931,MRI
MRI_788112,0,0,4931,4931,MRI
MRI_788175,0,0,4931,4931,MRI
MRI_788192,0,0,4931,4931,MRI
MRI_788279,0,0,4931,4931,MRI
MRI_788524,0,0,4931,4931,MRI
MRI_788536,0,0,4931,4931,MRI
MRI_788565,0,0,4931,4931,MRI
MRI_788585,0,0,4931,4931,MRI
MRI_788619,0,0,4931,4931,MRI
MRI_789238,0,0,4931,4931,MRI
MRI_789311,0,0,4931,4931,MRI
MRI_789349,0,0,4931,4931,MRI
MRI_789706,0,0,4931,4931,MRI
MRI_789947,0,0,4931,4931,MRI
MRI_789967,0,0,4931,4931,MRI
MRI_789969,0,0,4931,4931,MRI
MRI_790100,0,0,4931,4931,MRI
MRI_790163,0,0,4931,4931,MRI
MRI_790166,0,0,4931,4931,MRI
MRI_790270,0,0,4931,4931,MRI
MRI_790344,0,0,4931,4931,MRI
MRI_790424,0,0,4931,4931,MRI
MRI_790585,0,0,4931,4931,MRI
MRI_790596,0,0,4931,4931,MRI
MRI_790605,0,0,4931,4931,MRI
MRI_790759,0,0,4931,4931,MRI
MRI_790771,0,0,4931,4931,MRI
MRI_790819,0,0,4931,4931,MRI
MRI_790876,0,0,4931,4931,MRI
MRI_790969,0,0,4931,4931,MRI
MRI_791074,0,0,4931,4931,MRI
MRI_791130,0,0,4931,4931,MRI
MRI_791329,0,0,4931,4931,MRI
MRI_791718,0,0,4931,4931,MRI
MRI_791868,0,0,4931,4931,MRI
MRI_792056,0,0,4931,4931,MRI
MRI_792081,0,0,4931,4931,MRI
MRI_792349,0,0,4931,4931,MRI
MRI_792465,0,0,4931,4931,MRI
MRI_792482,0,0,4931,4931,MRI
MRI_792699,0,0,4931,4931,MRI
